Timestamp,Institution,Which best describes your role in coastal wetland carbon science?,Which best describes the spatial scale of your work?,Where are you in your career?,I primarily work...,What type coastal wetland carbon data would you like to see synthesized and publically available?,What is your preferred way of accessing data?,Do you have data you would like to make publicly available,Is there any support the network can give you to help with the process of making your data publicly available?,What kind of data are you interested in submitting?,What is your motivation for archiving your data?,What type of training would improve your capacity as a scientist / practitioner / policy expert?,Would any of these proposed workshops be of interest to you?,"Do you have an idea for a collaborative workshop with the goal of a synthesis dataset, model, or and/or publication?",What are some things that have worked about a collaborative workshops you have attended? ,"What can make a collaborative workshop ineffective, but can be avoided?",Where do you see the state of Coastal Wetland Carbon Research and Practice in 5 years (10 years)?,Do you have any other feedback or concerns?
12/20/2017 10:14:48,Smithsonian Environmental,Scientist,national,Early Career,Inside the U.S.,,"A visual map interface with point and click data, Writing your own code to query databases",Yes,,dated soil cores from various CONUS studies,"Fulfilling funding requirements, Getting cited in data syntheses, Long-term safety of my data (hard drive crashes, acts of god, retirement), Participating and strengthening the scientific community, to test the other function","Data management (GitHub, R), Working with stakeholders (seminars, community events)",Consequences of land use change for coastal wetland carbon cycling,Loss avoidence strategies adf adf asdf adf adf adf adsf asdf ads f,Good coffee,Too much talking not enough doing,"There is a clearer connection between processes observation and policy. People have tools available to ask and answer questions. We move towards a probabilistic forecasting and away from deterministic statistical descriptions. We have revised reporting guidelines with system-specific recommendations that quantitatively improve precision. We are working towards reducing uncertainty in a structured framework. People are not just thinking about coastal wetlands in terms of carbon markets, but also loss avoidance and resiliency into the next century.",test test test
12/20/2017 10:15:54,you,Scientist,landscapes,Student,Both,,Writing your own code to query databases,Maybe,Help with meta-data,,,"Working with stakeholders (seminars, community events)",Consequences of land use change for coastal wetland carbon cycling,,,,,
12/21/2017 9:55:25,Coastal Carolina University,Scientist,sites,Early Career,Inside the U.S.,"Stocks of water column, sediment, and high marsh inorganic and organic carbon in marshes and estuaries","A visual map interface with point and click data, Neat summary tables and graphics",Not yet but would definitely commit to doing so as soon as they are generated and quality-controlled,"Having an agreed upon policy for data use and citation, Creating a citable digital object identifier for the data (DOI)",,,"Field methods (videos, meetings, seminars, wikis), Data management (GitHub, R)",Coastal wetlands as carbon sinks and sources through lateral and vertical exchange,Recommended methodologies for future data collection efforts,"Goals are clear from the start, and leadership is needed to be present and focused on those goals throughout the workshop",Lack of leadership and lack of continuous reflection on goals and objectives can lead a workshop to an apparent dead end. One or more individuals need to lead.,"Greatly expanded, if this RCN provides leadership and guidance to people like me that want to contribute to coastal carbon research but need help with methods and priorities.",
12/21/2017 11:48:41,The Mediterranean Wetlands Initiative,Communicator,global,It’s complicated,Outside the U.S.,any type linked with wetlands,"A visual map interface with point and click data, Neat summary tables and graphics",No,,,,"Field methods (videos, meetings, seminars, wikis), Working with stakeholders (seminars, community events)","Consequences of plant community shifts for coastal greenhouse gas balance, Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",I have some experience in short publication (Sci Com interface) integrating some key results and used for policy purposes,I never attended this before,,"The research and practice could be gathered into a platform that allows the science - management interface via organisations of  collaborative workshops, exchanges visits, training on specific topics, shared of databases, policy work to influence governments, invite the main stakeholders into the exchange visits, do more communication and policy work at national and global levels (influence the key policy processes like to conventions UNFCCC Ramsar etc)",
12/29/2017 9:14:11,University of Edinburgh,Scientist,landscapes,Early Career,Outside the U.S.,biomass data,Linked spreadsheets with raw and summary data,Maybe,"Help with formatting, Help with meta-data, Algorithms for Quality Control",,,"Field methods (videos, meetings, seminars, wikis), Data management (GitHub, R), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Statistics and modeling, Working with stakeholders (seminars, community events)","Consequences of plant community shifts for coastal greenhouse gas balance, Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",None for now,discussion of past experiences and how it has been handled,poor planning and limiting the audience to a specific region,"I see it as an international community where data is shared and common collaboration is made to standardize methods and profer solutions based on global, regional and local scenarios.",None
12/30/2017 9:51:50,Leeds University,Scientist,plots,Student,Outside the U.S.,Mangrove carbon,A visual map interface with point and click data,Yes,,mangrove root decay,"Fulfilling funding requirements, Getting cited in data syntheses, Long-term safety of my data (hard drive crashes, acts of god, retirement), Participating and strengthening the scientific community, co-authoring of papers","Field methods (videos, meetings, seminars, wikis), Data management (GitHub, R), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Statistics and modeling, Working with stakeholders (seminars, community events)","Consequences of plant community shifts for coastal greenhouse gas balance, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",,with a precise goal to publish or with effective action on the ground,,close to practioners,
12/31/2017 15:06:53,University of St-Andrews,Scientist,national,Early Career,Outside the U.S.,C burial rates and storage estimates at different spatial scales,"A visual map interface with point and click data, Neat summary tables and graphics",,,,,"Working with stakeholders (seminars, community events)",Coastal wetlands as carbon sinks and sources through lateral and vertical exchange,1. How to measure C storage is 10cm or 1 m really suitable ? 2. Can C burial rates for coastal wetlands really be included in national GHG reporting and if so how,Goals need to be realistic - discussion can be broad but there must be a point,"to many people can cause problems, people fell left out or ignored around 15 people seems to be a good number. ",It will be of global importance and possible have its own special IPCC report ,
1/5/2018 13:21:02,CCMAR,Scientist,sites,Early Career,Outside the U.S.,Seagrass and Saltmarsh,"A visual map interface with point and click data, Neat summary tables and graphics, Linked spreadsheets with raw and summary data",Maybe,"Help with formatting, Help with meta-data, Algorithms for Quality Control, Having an agreed upon policy for data use and citation, Creating accompanying ‘landing page’ providing data context, Creating a citable digital object identifier for the data (DOI)",,,"Field methods (videos, meetings, seminars, wikis), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Working with stakeholders (seminars, community events)","Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",,,,,
1/6/2018 6:39:50,Hen Mpoano  ( Our Coast) ,Land Manager / Practitioner,landscapes,Early Career,Outside the U.S.,Coastal carbon data on africa ,"A visual map interface with point and click data, Neat summary tables and graphics, Linked spreadsheets with raw and summary data",No,,,,"Field methods (videos, meetings, seminars, wikis), Data management (GitHub, R), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Statistics and modeling, Working with stakeholders (seminars, community events)","Consequences of plant community shifts for coastal greenhouse gas balance, Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",Not yet ,,,,No 
1/10/2018 10:02:56,FIU,Scientist,plots,Student,Inside the U.S.,Fluxes,A visual map interface with point and click data,No,,,,"Data management (GitHub, R), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Statistics and modeling, Working with stakeholders (seminars, community events)","Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",,,,Growing exponentially,
1/10/2018 19:33:15,CSIRO,Researcher,national,It’s complicated,Outside the U.S.,carbon stores in different coastal ecosystems,"A visual map interface with point and click data, Linked spreadsheets with raw and summary data",Maybe,Having an agreed upon policy for data use and citation,,,"Working with stakeholders (seminars, community events)","Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",Not at this stage,speed talks and most time given over to facilitated debate/conversation,"Lack of clarity about what will be shared and produced, and not knowing the 'big' picture","The Public will have a clear understanding of what coastal disturbances e.g. housing developments, do to the carbon stores and future implications of managing our coastal carbon well",
1/12/2018 15:10:05,UCSC,Scientist,plots,Senior Researcher / Manager,Both,"C Burial, GHG emissions and associated data","A visual map interface with point and click data, Neat summary tables and graphics, Linked spreadsheets with raw and summary data",Not yet but once available will be happy to share,"Help with formatting, Help with meta-data, Having an agreed upon policy for data use and citation, Creating a citable digital object identifier for the data (DOI)",,,"Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Statistics and modeling, Working with stakeholders (seminars, community events)","Consequences of plant community shifts for coastal greenhouse gas balance, Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",sub surface processes that control net C burial,Available funds to invite participants and speakers,making it an exclusive club where the same people meet and talk to each other ,hope it will become an acceptable C offset option,Make sure the network is inclusive in the broadest sense including diverse approaches and strategies and people with diverse skills
